calibration_bin,row_count,min_predicted_not_merged_score,mean_predicted_not_merged_score,max_predicted_not_merged_score,observed_not_merged_rate,calibration_error,absolute_calibration_error,brier_score_not_merged,observed_not_merged_rate_pct,mean_predicted_not_merged_score_pct
1,26020,0.08992206852176587,0.2084884191695515,0.24462090791843916,0.027171406610299768,-0.18131701255925173,0.18131701255925173,0.18727191802381024,2.7171406610299766,20.84884191695515
2,26019,0.2446209110399582,0.2694379006021572,0.29158970477725354,0.04984818786271571,-0.2195897127394415,0.2195897127394415,0.18727191802381024,4.98481878627157,26.943790060215722
3,26020,0.29158988253332185,0.31080222553367387,0.3293840443361902,0.06126056879323597,-0.2495416567404379,0.2495416567404379,0.18727191802381024,6.126056879323597,31.08022255336739
4,26019,0.32938433059951955,0.3465864330127191,0.3634677389797619,0.06406856527921903,-0.28251786773350007,0.28251786773350007,0.18727191802381024,6.406856527921903,34.65864330127191
5,26020,0.36346777170140687,0.3798464899349115,0.396277790185797,0.07705611068408916,-0.3027903792508223,0.3027903792508223,0.18727191802381024,7.705611068408916,37.98464899349115
6,26019,0.396277790185797,0.41390845637370643,0.4323793133562358,0.08632153426342289,-0.32758692211028356,0.32758692211028356,0.18727191802381024,8.632153426342288,41.390845637370646
7,26019,0.43238514073692047,0.452444615392376,0.47374280928283674,0.09800530381644183,-0.35443931157593417,0.35443931157593417,0.18727191802381024,9.800530381644183,45.244461539237605
8,26020,0.4737480011027222,0.49923932481093086,0.5280100363810807,0.1222521137586472,-0.37698721105228367,0.37698721105228367,0.18727191802381024,12.22521137586472,49.92393248109309
9,26019,0.528019426612281,0.5654619123139443,0.6102528954205859,0.16203543564318382,-0.4034264766707605,0.4034264766707605,0.18727191802381024,16.20354356431838,56.546191231394424
10,26020,0.610259066637638,0.7124218078008001,0.991700796282295,0.332782475019216,-0.3796393327815841,0.3796393327815841,0.18727191802381024,33.2782475019216,71.24218078008
