feature,target_value,target_label,mean,median,p90
first_pr,0,Not merged,0.05751466760774626,0.0,0.0
first_pr,1,Merged,0.02918379733587264,0.0,0.0
core_member,0,Not merged,0.6819092152278442,1.0,1.0
core_member,1,Merged,0.8169833293656666,1.0,1.0
prior_interaction,0,Not merged,178.67714499977944,58.0,471.0
prior_interaction,1,Merged,206.36983479493597,103.0,517.0
followers,0,Not merged,145.63321716882086,18.0,233.0
followers,1,Merged,150.93693554579008,18.0,204.0
prev_pullreqs,0,Not merged,89.50389518726014,22.0,245.0
prev_pullreqs,1,Merged,113.23796992723085,41.0,303.0
account_creation_days,0,Not merged,1527.9309012307556,1491.0,2689.0
account_creation_days,1,Merged,1723.5647705509052,1707.0,2926.0
contrib_perc_commit,0,Not merged,0.11359548774790393,0.0284832,0.35676540000000023
contrib_perc_commit,1,Merged,0.20260817788278965,0.09931475000000001,0.5959848000000003
sloc,0,Not merged,108532.91382945873,24914.0,298066.0
sloc,1,Merged,81636.37167064505,16253.0,192446.0
team_size,0,Not merged,14.307759495346067,7.0,29.0
team_size,1,Merged,9.783573430787808,6.0,20.0
open_issue_num,0,Not merged,215.0931845251224,43.0,610.0
open_issue_num,1,Merged,164.3393427399205,38.0,468.0
project_age,0,Not merged,35.88935550752129,32.0,70.0
project_age,1,Merged,34.681582948898594,30.0,69.0
open_pr_num,0,Not merged,87.77298513388328,22.0,183.0
open_pr_num,1,Merged,48.38803351713281,12.0,93.0
fork_num,0,Not merged,841.163659623274,147.0,2266.0
fork_num,1,Merged,531.1072975042304,68.0,1156.0
test_lines_per_kloc,0,Not merged,297.6938779425261,277.687,630.3442000000001
test_lines_per_kloc,1,Merged,269.6934940100341,233.173,602.319
stars,0,Not merged,3083.3940359080684,289.0,7517.0
stars,1,Merged,1912.054603672987,130.0,4025.0
test_cases_per_kloc,0,Not merged,12.541437029813041,6.8409,34.54348
test_cases_per_kloc,1,Merged,12.334709574997445,5.79265,35.3202
asserts_per_kloc,0,Not merged,33.36034491982474,23.0879,80.25236000000001
asserts_per_kloc,1,Merged,32.61485598241649,20.2442,82.68699000000001
perc_external_contribs,0,Not merged,0.1535186460417795,0.108108,0.3727414000000001
perc_external_contribs,1,Merged,0.13357297171388854,0.0769231,0.352564
churn_addition,0,Not merged,618.5546076139221,22.0,596.6000000000058
churn_addition,1,Merged,412.57224584949887,16.0,400.0
churn_deletion,0,Not merged,344.60990780360845,5.0,249.0
churn_deletion,1,Merged,277.57642155064997,5.0,189.0
description_length,0,Not merged,59.9185760289382,26.0,133.0
description_length,1,Merged,45.952791199929656,20.0,107.0
test_inclusion,0,Not merged,0.22958224888614406,0.0,1.0
test_inclusion,1,Merged,0.20794970285393197,0.0,1.0
ci_exists,0,Not merged,0.6355992765450615,1.0,1.0
ci_exists,1,Merged,0.702342424651864,1.0,1.0
friday_effect,0,Not merged,0.1623185848515594,0.0,1.0
friday_effect,1,Merged,0.1666977645951157,0.0,1.0
